$$ParentProduct.Name$ProductComponentGroup.Name$ChildProduct.Name,ChildProduct.Name,ChildProductId,ChildProductRole,ChildSellingModel.Name,ChildSellingModelId,DoesBundlePriceIncludeChild,Id,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.Name,ParentProductId,ParentProductRole,ParentSellingModel.Name,ParentSellingModelId,ProductComponentGroup.$$Name$ParentProduct.Name,ProductComponentGroupId,ProductRelationshipType.Name,ProductRelationshipTypeId,Quantity,QuantityScaleMethod,Sequence
QuantumBit Complete Solution;Software;Additional API,Additional API,01tal000000XG1RAAW,BundleComponent,,,false,0dSal0000000eLdEAI,true,true,true,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Software;QuantumBit Complete Solution,0y7al00000001dhAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,10,,20
QuantumBit Complete Solution;Services;QuantumBit Services Project,QuantumBit Services Project,01tal000000XG1IAAW,BundleComponent,,,false,0dSal0000000eLeEAI,false,false,false,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Services;QuantumBit Complete Solution,0y7al00000001djAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,,50
QuantumBit Complete Solution;Software;QB API Management Solution,QB API Management Solution,01tal000000XG26AAG,BundleComponent,,,false,0dSal0000000eLfEAI,true,true,true,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Software;QuantumBit Complete Solution,0y7al00000001dhAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,,10
QuantumBit Complete Solution;Software;Additional Flows - QB Starter,Additional Flows - QB Starter,01tal000000XG27AAG,BundleComponent,,,false,0dSal0000000eLgEAI,false,false,true,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Software;QuantumBit Complete Solution,0y7al00000001dhAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,5,,40
QuantumBit Complete Solution;Training;QuantumBit Fundamentals Training,QuantumBit Fundamentals Training,01tal000000XG1tAAG,BundleComponent,,,false,0dSal0000000eLhEAI,false,false,false,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Training;QuantumBit Complete Solution,0y7al00000001diAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,20
QuantumBit Complete Solution;Training;QuantumBit Essentials Training,QuantumBit Essentials Training,01tal000000XG1uAAG,BundleComponent,,,false,0dSal0000000eLiEAI,false,true,false,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Training;QuantumBit Complete Solution,0y7al00000001diAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,1,Proportional,10
QuantumBit Complete Solution;Software;Additional Messages - QB Starter,Additional Messages - QB Starter,01tal000000XG28AAG,BundleComponent,,,false,0dSal0000000eLjEAI,false,false,true,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Software;QuantumBit Complete Solution,0y7al00000001dhAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,5,,30
QuantumBit Complete Solution;Services;Professional Services Daily Rate,Professional Services Daily Rate,01tal000000XG1vAAG,BundleComponent,,,false,0dSal0000000eLkEAI,false,true,true,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Services;QuantumBit Complete Solution,0y7al00000001djAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,250,,10
QuantumBit Complete Solution;Software;Additional Data Throughput (TB),Additional Data Throughput (TB),01tal000000XG29AAG,BundleComponent,,,false,0dSal0000000eLlEAI,false,false,true,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Software;QuantumBit Complete Solution,0y7al00000001dhAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,5,,50
QuantumBit Complete Solution;Software;Additional Automation QB Credits,Additional Automation QB Credits,01tal000000XG1eAAG,BundleComponent,,,false,0dSal0000000eLmEAI,false,false,true,,,QuantumBit Complete Solution,01tal000000XG1SAAW,Bundle,,,Software;QuantumBit Complete Solution,0y7al00000001dhAAA,Bundle to Bundle Component Relationship,0yoal0000000ci1AAA,25,,60
